City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
237,Nouadhibou,MR,20.931,-17.0347,62.6,55,100,17.27,overcast clouds
238,Kutum,SD,14.2,24.6667,51.35,43,0,7.07,clear sky
239,Las Vegas,US,36.175,-115.1372,53.6,22,1,3.44,clear sky
240,Tonekabon,IR,36.8163,50.8738,50.0,81,90,2.3,overcast clouds
241,Ankang,CN,32.68,109.0172,37.53,60,0,4.23,clear sky
242,Margate,GB,51.3813,1.3862,46.99,84,100,1.99,light rain
243,Lebu,CL,-37.6167,-73.65,54.05,69,0,19.75,clear sky
244,Ancud,CL,-41.8697,-73.8203,48.99,87,0,8.01,clear sky
245,Puerto Narino,CO,-3.7703,-70.3831,77.0,100,75,3.53,moderate rain
246,Kourou,GF,5.1552,-52.6478,75.2,100,75,9.22,mist
247,Lucapa,AO,-8.4192,20.7447,63.25,97,100,1.83,overcast clouds
248,Kruisfontein,ZA,-34.0033,24.7314,66.99,94,100,1.01,light rain
249,Paamiut,GL,61.994,-49.6678,26.98,98,100,14.18,light snow
250,Launceston,AU,-41.45,147.1667,78.01,43,0,12.66,clear sky
251,Saint-Pierre,RE,-21.3393,55.4781,78.8,83,40,5.75,light rain
252,Scarborough,GB,54.2797,-0.4044,39.0,92,100,1.99,light rain
253,Muroto,JP,33.2833,134.15,39.2,93,75,6.91,broken clouds
254,Becov,CZ,50.4497,13.7178,25.0,83,98,15.99,overcast clouds
255,Portland,US,45.5234,-122.6762,46.99,71,90,18.41,moderate rain
256,Dikson,RU,73.5069,80.5464,10.36,97,97,6.35,overcast clouds
257,College,US,64.8569,-147.8028,19.4,85,75,3.44,broken clouds
258,Waslala,NI,13.2333,-85.3833,69.4,92,100,2.91,overcast clouds
259,Nova Olimpia,BR,-14.7972,-57.2881,78.53,71,59,4.52,broken clouds
260,Tual,ID,-5.6667,132.75,84.36,72,1,4.14,light rain
261,Lungi,SL,9.2212,-12.6831,76.59,81,65,4.21,broken clouds
262,Matara,LK,5.9485,80.5353,77.5,86,45,4.32,scattered clouds
263,Saint-Joseph,RE,-21.3667,55.6167,78.8,83,90,3.44,light rain
264,Casino,AU,-28.8667,153.05,82.4,44,10,6.91,clear sky
265,Monroe,US,43.1501,-77.6831,34.0,80,90,9.22,overcast clouds
266,Broome,US,42.2506,-75.833,30.2,74,90,6.91,overcast clouds
267,Udimskiy,RU,61.1417,45.9144,-21.23,87,0,5.93,clear sky
268,Baiyin,CN,36.5583,104.2081,23.0,61,0,8.95,clear sky
269,Shelburne,CA,44.0787,-80.2041,30.2,74,90,9.22,overcast clouds
270,Agirish,RU,61.9247,63.0231,-22.58,88,0,0.72,clear sky
271,Irtyshskiy,RU,58.3333,68.1333,-20.79,86,95,7.92,overcast clouds
272,Salalah,OM,17.0151,54.0924,69.8,24,0,13.8,clear sky
273,Moyale,KE,3.5167,39.0584,68.29,46,0,8.43,clear sky
274,Harlingen,US,26.1906,-97.6961,48.0,71,90,6.91,overcast clouds
275,Talnakh,RU,69.4865,88.3972,-18.98,87,79,2.51,broken clouds
276,Thio,NC,-21.6167,166.2167,80.6,83,100,13.8,light rain
277,Edinburg,GB,55.9521,-3.1965,32.0,100,40,4.21,fog
278,Sukumo,JP,32.9333,132.7333,45.1,76,36,12.48,scattered clouds
