City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Malinovoye Ozero,RU,2021-01-12 15:18:44,51.6753,79.7825,24.03,96,100,13.53
250,Markova,UA,2021-01-12 15:18:44,48.6758,24.4138,30.2,93,90,4.47
251,Bata,GQ,2021-01-12 15:18:44,1.8639,9.7658,83.05,70,57,8.03
252,Bogorodskoye,RU,2021-01-12 15:18:44,56.55,37.8833,-3.89,92,84,5.82
253,Lazaro Cardenas,MX,2021-01-12 15:14:46,17.9583,-102.2,74.93,50,0,4.34
254,Port Hardy,CA,2021-01-12 15:15:02,50.6996,-127.4199,44.6,87,40,7.58
255,San Andres,CO,2021-01-12 15:18:44,12.5847,-81.7006,84.2,74,90,17.27
256,Bengkulu,ID,2021-01-12 15:18:45,-3.8004,102.2655,75.51,88,100,4.25
257,Miri,MY,2021-01-12 15:18:45,4.4148,114.0089,77.0,100,40,3.44
258,Maarianhamina,AX,2021-01-12 15:18:45,60.0973,19.9348,24.8,100,100,1.14
259,Zhigansk,RU,2021-01-12 15:18:45,66.7697,123.3711,-45.74,78,81,9.44
260,Sharjah,AE,2021-01-12 15:18:45,25.3573,55.4033,71.6,32,0,3.44
261,Ambilobe,MG,2021-01-12 15:18:45,-13.2,49.05,79.66,85,11,4.45
262,Murgab,TM,2021-01-12 15:18:46,37.4966,61.9714,42.8,87,0,4.61
263,Grand Gaube,MU,2021-01-12 15:18:46,-20.0064,57.6608,80.01,85,75,5.99
264,Sosnogorsk,RU,2021-01-12 15:18:46,63.6023,53.8817,-13.63,87,97,3.29
265,Lompoc,US,2021-01-12 15:18:46,34.6391,-120.4579,44.01,93,1,1.81
266,Sieradz,PL,2021-01-12 15:13:53,51.5958,18.7302,30.99,90,100,7.0
267,Gobabis,NA,2021-01-12 15:18:46,-22.45,18.9667,77.67,60,99,14.36
268,Saint-Georges,GD,2021-01-12 15:18:46,12.0564,-61.7485,84.2,65,20,23.02
269,Ilulissat,GL,2021-01-12 15:18:47,69.2167,-51.1,19.4,86,75,2.3
270,Nelson Bay,AU,2021-01-12 15:18:47,-32.7167,152.15,70.0,88,42,14.38
271,Opuwo,NA,2021-01-12 15:18:47,-18.0607,13.84,81.97,27,83,10.58
272,Caravelas,BR,2021-01-12 15:18:47,-17.7125,-39.2481,86.04,56,0,9.37
273,Serik,TR,2021-01-12 15:18:47,36.9169,31.0989,64.0,88,75,3.44
274,El Dorado,US,2021-01-12 15:18:47,38.7666,-120.5177,48.2,43,40,4.61
275,Yendi,GH,2021-01-12 15:18:48,9.4427,-0.0099,101.34,8,0,7.67
276,Port-Gentil,GA,2021-01-12 15:18:48,-0.7193,8.7815,84.2,79,40,12.66
277,Nossa Senhora Da Gloria,BR,2021-01-12 15:18:48,-10.2183,-37.4203,92.08,36,37,7.61
278,Belmonte,BR,2021-01-12 15:18:48,-15.8631,-38.8828,82.4,65,75,12.66
279,Leningradskiy,RU,2021-01-12 15:18:48,69.3833,178.4167,-21.93,82,91,17.22
280,Laredo,US,2021-01-12 15:18:48,27.5064,-99.5075,37.4,100,90,4.61
281,Altus,US,2021-01-12 15:18:49,34.6381,-99.334,28.4,93,1,3.44
282,Marzuq,YE,2021-01-12 15:18:49,14.4,46.4667,62.11,30,0,8.3
283,Orichi,RU,2021-01-12 15:18:49,58.4036,49.0572,-8.1,91,100,3.96
284,Kaitangata,NZ,2021-01-12 15:18:49,-46.2817,169.8464,52.66,95,25,3.29
285,Matay,EG,2021-01-12 15:18:49,28.419,30.7792,74.77,24,100,5.41
286,Murgeni,RO,2021-01-12 15:18:49,46.2044,28.0197,36.14,88,100,7.02
287,Birao,CF,2021-01-12 15:18:50,10.2849,22.7882,93.0,10,0,3.65
288,Gat,IL,2021-01-12 15:18:50,31.61,34.7642,75.0,48,41,1.99
289,Yalta,UA,2021-01-12 15:18:50,44.5,34.1667,43.27,82,100,14.25
