City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
244,Mayumba,-3.432,10.6554,77.95,86,100,8.19,GA,overcast clouds
245,Russell,32.3502,-85.1999,46.4,87,90,4.61,US,overcast clouds
246,Asfi,32.2994,-9.2372,51.73,70,0,14.12,MA,clear sky
247,Hamilton,39.1834,-84.5333,28.0,80,1,4.27,US,clear sky
248,Buckeye,33.3703,-112.5838,62.6,20,20,4.61,US,few clouds
249,Gamba,-2.65,10.0,77.7,87,100,6.55,GA,overcast clouds
250,Zeya,53.75,127.2667,-17.34,85,100,2.39,RU,overcast clouds
251,Timizart,36.8,4.2667,43.57,86,58,4.14,DZ,light rain
252,Ola,59.5833,151.2833,2.91,86,100,9.46,RU,overcast clouds
253,Tambo Grande,-4.9269,-80.3447,79.74,55,100,13.06,PE,overcast clouds
254,Aqtobe,50.2797,57.2072,12.2,79,90,6.71,KZ,overcast clouds
255,Provideniya,64.3833,-173.3,1.4,71,0,11.18,RU,clear sky
256,Matehuala,23.65,-100.65,50.04,69,1,13.42,MX,clear sky
257,Sumenep,-7.0167,113.8667,83.95,73,100,5.99,ID,overcast clouds
258,Godinesti,45.0,22.9667,32.04,97,98,2.48,RO,overcast clouds
259,New Norfolk,-42.7826,147.0587,71.01,63,5,3.0,AU,clear sky
260,Dovolnoye,54.4958,79.6671,-14.64,87,100,13.73,RU,overcast clouds
261,Sulina,45.1559,29.6536,41.38,83,100,10.63,RO,overcast clouds
262,Kaeo,-35.1,173.7833,77.0,58,49,11.99,NZ,scattered clouds
263,Gairo,39.8497,9.5047,46.4,71,40,20.71,IT,scattered clouds
264,Guntakal,15.1667,77.3833,67.71,79,100,3.96,IN,overcast clouds
265,Sigayevo,56.4216,53.7757,-5.01,84,100,4.0,RU,light snow
266,Pandan,14.0453,124.1694,75.78,77,87,19.84,PH,overcast clouds
267,Vostok,46.4856,135.8833,3.36,84,87,2.66,RU,overcast clouds
268,Vitim,59.4511,112.5578,-16.92,86,100,1.5,RU,overcast clouds
269,Tashtagol,52.7657,87.8894,11.03,95,100,1.32,RU,light snow
270,Tulsipur,28.131,82.2973,50.11,47,0,3.49,NP,clear sky
271,Kushiro,42.975,144.3747,15.8,67,75,4.61,JP,broken clouds
272,Tigil,57.8,158.6667,6.17,89,100,3.49,RU,overcast clouds
273,Nishihara,26.1842,127.7558,53.6,66,90,16.11,JP,overcast clouds
274,Vila,42.0304,-8.1588,30.0,86,0,4.0,PT,clear sky
275,Namibe,-15.1961,12.1522,71.96,65,80,7.72,AO,broken clouds
276,Oil City,41.4339,-79.7064,33.01,74,90,11.5,US,overcast clouds
277,Osterholz-Scharmbeck,53.2333,8.8,42.8,87,75,20.71,DE,light rain
278,Baruun-Urt,46.6806,113.2792,-2.13,88,100,7.34,MN,overcast clouds
279,San Cristobal,7.7669,-72.225,63.9,90,7,2.44,VE,clear sky
280,Samarai,-10.6167,150.6667,86.88,68,50,7.09,PG,scattered clouds
281,Tiarei,-17.5333,-149.3333,86.0,65,75,11.5,PF,broken clouds
282,Axim,4.8699,-2.2405,79.38,85,0,10.31,GH,clear sky
283,Asau,46.4333,26.4,30.2,100,90,6.91,RO,mist
284,Klaksvik,62.2266,-6.589,37.4,81,75,25.32,FO,broken clouds
285,Kumano,34.3442,132.5894,41.0,65,75,3.44,JP,broken clouds
286,Bardiyah,31.7561,25.0865,64.17,54,100,10.27,LY,overcast clouds
287,Piacabucu,-10.4056,-36.4344,78.93,80,100,12.33,BR,overcast clouds
288,Riihimaki,60.7377,24.7773,28.99,93,75,18.41,FI,broken clouds
289,Bermeo,43.4209,-2.7215,42.01,93,90,3.44,ES,overcast clouds
290,Airai,-8.9266,125.4092,73.38,78,16,1.3,TL,few clouds
291,Pombia,45.653,8.6336,28.99,86,0,4.61,IT,clear sky
292,Cocobeach,1.0002,9.5823,82.4,83,40,9.22,GA,light rain
293,Luwuk,-0.9516,122.7875,85.86,64,96,1.95,ID,overcast clouds
294,Mackenzie,55.2999,-123.1698,37.4,75,90,4.61,CA,overcast clouds
295,Lasa,46.6166,10.7002,15.8,53,0,8.05,IT,clear sky
296,Pacifica,37.6138,-122.4869,55.99,67,75,10.36,US,broken clouds
297,Tallahassee,30.4383,-84.2807,60.8,88,90,8.05,US,overcast clouds
298,Khasan,42.4308,130.6434,18.41,85,0,7.36,RU,clear sky
299,Katsuura,35.1333,140.3,42.01,52,75,11.5,JP,broken clouds
300,Maneadero,31.7167,-116.5667,60.01,64,0,1.99,MX,clear sky
301,Tenenkou,14.4572,-4.9169,68.95,26,0,11.65,ML,clear sky
302,Los Llanos De Aridane,28.6585,-17.9182,59.0,72,90,10.36,ES,overcast clouds
303,Mairwa,26.2333,84.15,46.92,57,0,6.71,IN,clear sky
304,Kyra,49.5776,111.9753,-3.14,85,100,4.63,RU,overcast clouds
305,Miles City,46.4083,-105.8406,32.0,80,1,6.91,US,clear sky
306,Mandalgovi,45.7625,106.2708,16.7,87,100,17.94,MN,overcast clouds
307,Krasnoselkup,65.7,82.4667,-3.96,91,90,12.41,RU,overcast clouds
308,Severo-Kurilsk,50.6789,156.125,24.15,88,91,26.71,RU,light snow
309,Sosua,19.7667,-70.5167,75.2,94,75,10.74,DO,light rain
310,Bilibino,68.0546,166.4372,-27.2,79,1,2.77,RU,clear sky
311,Alghero,40.5589,8.3181,39.0,93,0,3.44,IT,clear sky
312,Srednekolymsk,67.45,153.6833,-35.63,83,33,3.09,RU,scattered clouds
313,Port-Gentil,-0.7193,8.7815,80.6,78,97,8.05,GA,moderate rain
314,Talaya,61.3833,152.75,-26.95,81,100,1.45,RU,overcast clouds
315,Port Macquarie,-31.4333,152.9167,84.99,44,0,1.99,AU,clear sky
316,Canete,-37.8,-73.4,52.27,67,0,8.16,CL,clear sky
317,Les Cayes,18.2,-73.75,75.06,81,100,2.37,HT,overcast clouds
318,Thinadhoo,0.5333,72.9333,80.92,78,94,16.87,MV,overcast clouds
319,Atambua,-9.1061,124.8925,83.7,72,5,1.19,ID,clear sky
320,Letka,59.6011,49.4232,-18.31,87,17,6.08,RU,few clouds
321,Hay River,60.8156,-115.7999,30.2,80,100,8.05,CA,overcast clouds
322,Trofors,65.5333,13.4063,30.2,59,90,24.16,NO,overcast clouds
323,Pahrump,36.2083,-115.9839,52.0,26,85,2.89,US,overcast clouds
324,Kloulklubed,7.0419,134.2556,78.8,89,90,5.75,PW,light rain
325,Mayor Pablo Lagerenza,-19.9309,-60.7718,88.32,45,0,7.27,PY,clear sky
326,Hirara,24.8,125.2833,55.4,87,75,13.8,JP,broken clouds
327,Pokhara,28.2333,83.9833,51.55,45,0,3.06,NP,clear sky
328,Canmore,51.0834,-115.3521,39.2,51,50,5.75,CA,scattered clouds
329,Kochkurovo,54.0358,45.4184,-6.21,91,83,1.54,RU,broken clouds
330,Comodoro Rivadavia,-45.8667,-67.5,59.0,44,0,4.61,AR,clear sky
331,Assomada,15.1,-23.6833,69.8,68,75,18.41,CV,broken clouds
332,Port Blair,11.6667,92.75,80.06,75,100,14.74,IN,overcast clouds
333,Kavaratti,10.5669,72.642,82.47,75,100,10.22,IN,light rain
334,Kiunga,-6.1219,141.2906,88.25,63,36,2.08,PG,scattered clouds
335,Solwezi,-12.1688,26.3894,62.37,98,100,4.79,ZM,light rain
336,Urucara,-2.5364,-57.76,74.84,93,100,1.01,BR,overcast clouds
337,Leshukonskoye,64.8989,45.7622,-11.11,87,29,3.56,RU,scattered clouds
338,Romny,50.751,33.4747,28.08,93,100,5.75,UA,overcast clouds
339,Alpatovo,43.7028,45.2415,32.0,93,90,6.71,RU,light snow
340,Harper,4.375,-7.7169,78.3,85,94,7.63,LR,light rain
341,Pangody,65.85,74.4859,-9.44,91,99,10.94,RU,overcast clouds
342,Texistepeque,14.1333,-89.5,73.4,68,20,13.8,SV,few clouds
343,Lata,40.1629,-8.3327,43.0,77,0,4.0,PT,clear sky
344,Kalevala,65.2,31.1667,-5.31,91,98,7.96,RU,overcast clouds
345,Pennadam,11.4,79.2333,71.94,92,100,10.11,IN,overcast clouds
346,Zilupe,56.3862,28.1217,22.42,98,97,7.65,LV,overcast clouds
347,Kaitangata,-46.2817,169.8464,62.01,65,0,8.99,NZ,clear sky
348,Bonoua,5.2741,-3.595,80.6,94,20,5.75,CI,few clouds
